Order Date,Ship Date,Division,Region,Product Name,Sales,Units,Gross Profit,Cost,Gross Margin %,Profit Per Unit,Revenue Contribution %,Profit Contribution %,Product Category,Margin Risk,Month
2024-01-03,2026-06-30,Chocolate,Interior,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,64.92307692307692,2.11,0.004584450264110179,0.004516131793995899,Low Sales Low Profit,Safe,2024-01
2024-01-04,2026-07-01,Chocolate,Interior,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,65.33333333333334,2.45,0.005289750304742514,0.005243849713407561,Low Sales Low Profit,Safe,2024-01
2024-01-04,2026-07-01,Chocolate,Interior,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,71.34670487106017,2.4899999999999998,0.007384491425420551,0.007994195379419282,Low Sales High Margin,Safe,2024-01
2024-01-04,2026-07-01,Chocolate,Interior,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,69.44444444444444,2.5,0.007617240438829222,0.008026300581746268,High Sales High Profit,Safe,2024-01
2024-01-05,2026-07-05,Chocolate,Atlantic,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,65.33333333333333,2.4499999999999997,0.007934625457113773,0.00786577457011134,High Sales Low Margin,Safe,2024-01
2024-01-06,2026-07-03,Chocolate,Gulf,Wonka Bar -Scrumdiddlyumptious,32.4,9,22.5,9.9,69.44444444444444,2.5,0.022851721316487664,0.0240789017452388,High Sales High Profit,Safe,2024-01
2024-01-06,2026-07-03,Chocolate,Gulf,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,65.33333333333334,2.45,0.005289750304742514,0.005243849713407561,Low Sales Low Profit,Safe,2024-01
2024-01-06,2026-06-30,Chocolate,Gulf,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,64.92307692307693,2.11,0.0068766753961652695,0.00677419769099385,Low Sales Low Profit,Safe,2024-01
2024-01-06,2026-07-03,Chocolate,Gulf,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,71.34670487106017,2.49,0.004922994283613701,0.005329463586279522,Low Sales High Margin,Safe,2024-01
2024-01-06,2026-07-03,Chocolate,Gulf,Wonka Bar - Milk Chocolate,13.0,4,8.44,4.56,64.92307692307692,2.11,0.009168900528220359,0.009032263587991798,High Sales Low Margin,Safe,2024-01
2024-01-06,2026-07-03,Chocolate,Gulf,Wonka Bar - Milk Chocolate,3.25,1,2.11,1.14,64.92307692307692,2.11,0.0022922251320550897,0.0022580658969979495,Low Sales Low Profit,Safe,2024-01
2024-01-06,2026-07-01,Chocolate,Pacific,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,64.92307692307693,2.11,0.0068766753961652695,0.00677419769099385,Low Sales Low Profit,Safe,2024-01
2024-01-06,2026-07-03,Chocolate,Gulf,Wonka Bar -Scrumdiddlyumptious,14.4,4,10.0,4.4,69.44444444444444,2.5,0.010156320585105629,0.010701734108995022,High Sales High Profit,Safe,2024-01
2024-01-06,2026-07-03,Chocolate,Gulf,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,66.66666666666666,2.4,0.005078160292552814,0.005136832372317611,Low Sales High Margin,Safe,2024-01
2024-01-07,2026-07-05,Chocolate,Interior,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,64.92307692307693,2.11,0.0068766753961652695,0.00677419769099385,Low Sales Low Profit,Safe,2024-01
2024-01-07,2026-07-05,Chocolate,Interior,Wonka Bar - Triple Dazzle Caramel,26.25,7,17.15,9.1,65.33333333333333,2.4499999999999997,0.0185141260665988,0.018353473996926464,High Sales Low Margin,Safe,2024-01
2024-01-09,2026-07-06,Chocolate,Interior,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,65.33333333333334,2.45,0.005289750304742514,0.005243849713407561,Low Sales Low Profit,Safe,2024-01
2024-01-09,2026-07-06,Chocolate,Interior,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,65.33333333333333,2.4499999999999997,0.007934625457113773,0.00786577457011134,High Sales Low Margin,Safe,2024-01
2024-01-10,2026-07-08,Chocolate,Gulf,Wonka Bar - Milk Chocolate,3.25,1,2.11,1.14,64.92307692307692,2.11,0.0022922251320550897,0.0022580658969979495,Low Sales Low Profit,Safe,2024-01
2024-01-10,2026-07-08,Other,Gulf,Wonka Gum,1.25,1,0.65,0.6,52.0,0.65,0.0008816250507904191,0.0006956127170846764,Low Sales Low Profit,Safe,2024-01
2024-01-11,2026-07-07,Chocolate,Atlantic,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,64.92307692307692,2.11,0.004584450264110179,0.004516131793995899,Low Sales Low Profit,Safe,2024-01
2024-01-13,2026-07-11,Chocolate,Pacific,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,64.92307692307693,2.11,0.0068766753961652695,0.00677419769099385,Low Sales Low Profit,Safe,2024-01
2024-01-13,2026-07-09,Chocolate,Gulf,Wonka Bar - Nutty Crunch Surprise,20.94,6,14.94,6.0,71.34670487106017,2.4899999999999998,0.014768982850841102,0.015988390758838563,High Sales High Profit,Safe,2024-01
2024-01-13,2026-07-11,Chocolate,Pacific,Wonka Bar - Milk Chocolate,16.25,5,10.55,5.7,64.92307692307693,2.1100000000000003,0.011461125660275448,0.01129032948498975,High Sales Low Margin,Safe,2024-01
2024-01-13,2026-07-11,Chocolate,Atlantic,Wonka Bar -Scrumdiddlyumptious,7.2,2,5.0,2.2,69.44444444444444,2.5,0.005078160292552814,0.005350867054497511,Low Sales High Margin,Safe,2024-01
2024-01-13,2026-07-08,Chocolate,Gulf,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,65.33333333333333,2.4499999999999997,0.007934625457113773,0.00786577457011134,High Sales Low Margin,Safe,2024-01
2024-01-13,2026-07-08,Other,Gulf,Kazookles,9.75,3,0.75,9.0,7.6923076923076925,0.25,0.0068766753961652695,0.0008026300581746266,Low Sales Low Profit,Risk,2024-01
2024-01-13,2026-07-08,Chocolate,Gulf,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,64.92307692307692,2.11,0.004584450264110179,0.004516131793995899,Low Sales Low Profit,Safe,2024-01
2024-01-13,2026-07-11,Chocolate,Atlantic,Wonka Bar -Scrumdiddlyumptious,25.2,7,17.5,7.7,69.44444444444444,2.5,0.01777356102393485,0.01872803469074129,High Sales High Profit,Safe,2024-01
2024-01-13,2026-07-08,Chocolate,Gulf,Wonka Bar - Milk Chocolate,19.5,6,12.66,6.84,64.92307692307693,2.11,0.013753350792330539,0.0135483953819877,High Sales Low Margin,Safe,2024-01
2024-01-13,2026-07-11,Chocolate,Pacific,Wonka Bar - Nutty Crunch Surprise,17.45,5,12.45,5.0,71.34670487106017,2.4899999999999998,0.01230748570903425,0.0133236589656988,High Sales High Profit,Safe,2024-01
2024-01-13,2026-07-08,Chocolate,Gulf,Wonka Bar -Scrumdiddlyumptious,21.6,6,15.0,6.6,69.44444444444444,2.5,0.015234480877658444,0.016052601163492535,High Sales High Profit,Safe,2024-01
2024-01-14,2026-07-08,Other,Atlantic,Wonka Gum,5.0,4,2.6,2.4,52.0,0.65,0.0035265002031616764,0.0027824508683387057,Low Sales Low Profit,Safe,2024-01
2024-01-15,2026-07-10,Chocolate,Gulf,Wonka Bar -Scrumdiddlyumptious,18.0,5,12.5,5.5,69.44444444444444,2.5,0.012695400731382034,0.013377167636243779,High Sales High Profit,Safe,2024-01
2024-01-16,2026-07-11,Chocolate,Atlantic,Wonka Bar - Triple Dazzle Caramel,22.5,6,14.7,7.8,65.33333333333333,2.4499999999999997,0.015869250914227546,0.01573154914022268,High Sales Low Margin,Safe,2024-01
2024-01-16,2026-07-11,Chocolate,Atlantic,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,66.66666666666666,2.4,0.005078160292552814,0.005136832372317611,Low Sales High Margin,Safe,2024-01
2024-01-16,2026-07-11,Chocolate,Atlantic,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,65.33333333333333,2.4499999999999997,0.007934625457113773,0.00786577457011134,High Sales Low Margin,Safe,2024-01
